value,total_removed,ground_removed,cone_removed,unassigned_removed
0.001000,0.436914,0.878402,0.015855,0.105743
0.005990,0.437841,0.876560,0.015830,0.107610
0.010980,0.438197,0.875816,0.015814,0.108370
0.015970,0.436715,0.878507,0.015877,0.105616
0.020960,0.434446,0.881348,0.015910,0.102741
0.025950,0.435580,0.881083,0.016226,0.102691
0.030940,0.435700,0.880811,0.016222,0.102966
0.035930,0.434955,0.883424,0.016329,0.100247
0.040920,0.432390,0.881951,0.015296,0.102753
0.045910,0.429992,0.881770,0.014917,0.103312
0.050900,0.427475,0.885693,0.014853,0.099455
0.055890,0.427599,0.885957,0.014865,0.099178
0.060880,0.426738,0.885281,0.014583,0.100137
0.065870,0.426882,0.885647,0.014556,0.099797
0.070860,0.426955,0.886215,0.014406,0.099379
0.075850,0.427067,0.886906,0.014400,0.098694
0.080840,0.427830,0.887584,0.014430,0.097986
0.085830,0.427809,0.887899,0.014383,0.097718
0.090820,0.427687,0.889236,0.014320,0.096445
0.095810,0.427775,0.889692,0.014344,0.095963
0.100800,0.428006,0.890023,0.014360,0.095618
0.105790,0.428462,0.889867,0.014338,0.095795
0.110780,0.428959,0.889280,0.014441,0.096279
0.115770,0.429183,0.889144,0.014560,0.096296
0.120760,0.429558,0.889029,0.014617,0.096355
0.125750,0.430343,0.888226,0.014880,0.096894
0.130740,0.430720,0.888197,0.014867,0.096936
0.135730,0.431175,0.887637,0.014866,0.097497
0.140720,0.431441,0.887633,0.014926,0.097441
0.145710,0.431705,0.887330,0.014915,0.097755
0.150700,0.431875,0.887135,0.014956,0.097909
0.155690,0.432069,0.886902,0.014951,0.098148
0.160680,0.432347,0.886743,0.014942,0.098315
0.165670,0.434871,0.884450,0.015360,0.100190
0.170660,0.435117,0.884049,0.015412,0.100539
0.175650,0.435285,0.883839,0.015405,0.100756
0.180640,0.435498,0.883615,0.015369,0.101015
0.185630,0.435812,0.883374,0.015378,0.101247
0.190620,0.436594,0.882313,0.015373,0.102314
0.195610,0.437101,0.881963,0.015376,0.102661
0.200600,0.445401,0.882306,0.015985,0.101709
0.205590,0.445618,0.882047,0.016005,0.101948
0.210580,0.445975,0.881753,0.015991,0.102256
0.215570,0.447931,0.877770,0.015916,0.106315
0.220560,0.448323,0.877019,0.015898,0.107084
0.225550,0.448528,0.876641,0.015891,0.107468
0.230540,0.451268,0.872772,0.015825,0.111403
0.235530,0.451449,0.872504,0.015819,0.111677
0.240520,0.451586,0.872377,0.015815,0.111808
0.245510,0.451887,0.872182,0.015786,0.112033
0.250500,0.452049,0.872056,0.015780,0.112164
0.255490,0.452522,0.871287,0.015750,0.112962
0.260480,0.452696,0.870995,0.015745,0.113260
0.265470,0.452788,0.870894,0.015742,0.113363
0.270460,0.452913,0.870675,0.015737,0.113588
0.275450,0.452913,0.870675,0.015737,0.113588
0.280440,0.453134,0.870509,0.015729,0.113761
0.285430,0.453400,0.870010,0.015719,0.114271
0.290420,0.454144,0.869036,0.015702,0.115262
0.295410,0.454253,0.868967,0.015699,0.115334
0.300400,0.454253,0.868967,0.015699,0.115334
0.305390,0.454422,0.868647,0.015694,0.115659
0.310380,0.454470,0.868556,0.015692,0.115751
0.315370,0.455949,0.866084,0.015645,0.118271
0.320360,0.457470,0.863453,0.015598,0.120949
0.325350,0.459006,0.860608,0.015556,0.123836
0.330340,0.459175,0.860479,0.015549,0.123972
0.335330,0.459255,0.860342,0.015547,0.124111
0.340320,0.459356,0.860286,0.015544,0.124170
0.345310,0.459476,0.860063,0.015541,0.124396
0.350300,0.459533,0.859966,0.015539,0.124495
0.355290,0.459565,0.859904,0.015538,0.124558
0.360280,0.459807,0.859775,0.015530,0.124695
0.365270,0.459807,0.859775,0.015530,0.124695
0.370260,0.459906,0.859656,0.015524,0.124820
0.375250,0.459535,0.860376,0.015539,0.124085
0.380240,0.459660,0.860141,0.015535,0.124324
0.385230,0.459660,0.860141,0.015535,0.124324
0.390220,0.459918,0.859863,0.015527,0.124610
0.395210,0.459918,0.859863,0.015527,0.124610
0.400200,0.460029,0.859678,0.015531,0.124792
0.405190,0.460142,0.859587,0.015527,0.124886
0.410180,0.460211,0.859457,0.015524,0.125019
0.415170,0.460331,0.859241,0.015521,0.125238
0.420160,0.460420,0.859073,0.015517,0.125410
0.425150,0.460420,0.859073,0.015517,0.125410
0.430140,0.457200,0.865243,0.015612,0.119145
0.435130,0.457292,0.865084,0.015610,0.119306
0.440120,0.457405,0.865017,0.015606,0.119377
0.445110,0.457537,0.864787,0.015602,0.119611
0.450100,0.457718,0.864572,0.015597,0.119832
0.455090,0.457734,0.864541,0.015596,0.119863
0.460080,0.457626,0.864816,0.015590,0.119594
0.465070,0.458769,0.862964,0.015562,0.121474
0.470060,0.458833,0.862885,0.015559,0.121556
0.475050,0.458998,0.862708,0.015553,0.121739
0.480040,0.459034,0.862637,0.015552,0.121812
0.485030,0.459381,0.862135,0.015539,0.122327
0.490020,0.459404,0.862091,0.015537,0.122372
0.495010,0.459480,0.861947,0.015532,0.122521
